area,rooms,price
600,1,132000
750,1,145000
850,2,173000
900,2,181000
1000,2,195000
1100,2,208000
1200,3,235000
1250,3,244000
1300,3,250000
1400,3,260000
1500,3,273000
1550,3,279000
1600,3,286000
1700,3,297000
1800,3,309000
1850,3,316000
1900,4,339000
2000,4,351000
2100,4,362000
2200,4,372000
2300,4,386000
2400,4,397000
2500,4,410000
2600,5,441000
2700,5,452000
2800,5,464000
2900,5,478000
3000,5,489000
3100,5,503000
3200,5,515000
650,1,138000
780,2,169000
920,2,188000
1050,2,201000
1150,2,214000
1350,3,253000
1450,3,268000
1650,3,292000
1750,3,304000
1950,4,345000
2050,4,355000
2250,4,378000
2350,4,390000
2550,5,426000
2750,5,456000
2950,5,482000
3150,5,507000
